VERBOS COM O KANJI,PORTUGUES,INGLES,VERBOS SEM O KANJI(ます),RADICAL,GRUPO,DIC,NEG(ない),IMP(て),PRET(た),VOLITI (QUERER OU DESEJAR),CAUS (DEIXE_ME ...),FORMATOCAUSATIVO,IMPERATIVA/PROIBITIVA,NEGで,CONDICIONAL(SE ....),POSSO ....,DEVE SER FEITO,TER EXPERIÊNCIA,"V-ME (FAÇA-ME,COMPRE-ME,...)"
くれます,dar (a mim),to give (to me),くれます,くれ,（２）,くれる,くれない,くれて,くれた,くれよう,くれさせます,（FORMA-DIC）させます,くれろ,くれないで,くれれば,くれてもいです（か）,くれないと（いけない）,くれたことがある？（ます（か））,くれてきて
閉めます,fechar,to close,しめます,しめ,（２）,しめる,しめない,しめて,しめた,しめよう,しめさせます,（FORMA-DIC）させます,しめろ,しめないで,しめれば,しめてもいです（か）,しめないと（いけない）,しめたことがある？（ます（か））,しめてきて
調べます,investigar,to examine,しらべます,しらべ,（２）,しらべる,しらべない,しらべて,しらべた,しらべよう,しらべさせます,（FORMA-DIC）させます,しらべろ,しらべないで,しらべれば,しらべてもいです（か）,しらべないと（いけない）,しらべたことがある？（ます（か））,しらべてきて
捨てます,jogar fora,to throw away,すてます,すて,（２）,すてる,すてない,すてて,すてた,すてよう,すてさせます,（FORMA-DIC）させます,すてろ,すてないで,すでれば,すててもいです（か）,すてないと（いけない）,すてたことがある？（ます（か））,すててきて
食べます,comer,to eat,たべます,たべ,（２）,たべる,たべない,たべて,たべた,たべよう,たべさせます,（FORMA-DIC）させます,たべろ,たべないで,たべれば,たべてもいです（か）,たべないと（いけない）,たべたことがある？（ます（か））,たべてきて
足ります,ser suficiente,to be enough,たります,たり,（２）,たりる,たりない,たりて,たりた,たりよう,たりさせます,（FORMA-DIC）させます,たりろ,たりないで,たれれば,たりてもいです（か）,たりないと（いけない）,たりたことがある？（ます（か））,たりてきて
疲れます,ficar cansado,to get tired,つかれます,つかれ,（２）,つかれる,つかれない,つかれて,つかれた,つかれよう,つかれさせます,（FORMA-DIC）させます,つかれろ,つかれないで,つかれれば,つかれてもいです（か）,つかれないと（いけない）,つかれたことがある？（ます（か））,つかれてきて
つけます,ligar (luz),to turn on,つけます,つけ,（２）,つける,つけない,つけて,つけた,つけよう,つけさせます,（FORMA-DIC）させます,つけろ,つけないで,つければ,つけてもいです（か）,つけないと（いけない）,つけたことがある？（ます（か））,つけてきて
出かけます,sair (de casa),to go out,でかけます,でかけ,（２）,でかける,でかけない,でかけて,でかけた,でかけよう,でかけさせます,（FORMA-DIC）させます,でかけろ,でかけないで,でかければ,でかけてもいです（か）,でかけないと（いけない）,でかけたことがある？（ます（か））,でかけてきて
できます,ser possível,to be able to,できます,でき,（２）,できる,できない,できて,できた,できよう,できさせます,（FORMA-DIC）させます,できろ,できないで,でければ,できてもいです（か）,できないと（いけない）,できたことがある？（ます（か））,できてきて
出ます「おつりが～」,sair (o troco),to come out (change),でます,で,（２）,でる,でない,でて,でた,でよう,でさせます,（FORMA-DIC）させます,でろ,でないで,でれれば,でてもいです（か）,でないと（いけない）,でたことがある？（ます（か））,でてきて
出ます「きっさてんを～」,,,でます,で,（２）,でる,でない,でて,でた,でよう,でさせます,（FORMA-DIC）させます,でろ,でないで,でれれば,でてもいです（か）,でないと（いけない）,でたことがある？（ます（か））,でてきて
出ます「だいがくを～」,,,でます,で,（２）,でる,でない,でて,でた,でよう,でさせます,（FORMA-DIC）させます,でろ,でないで,でれれば,でてもいです（か）,でないと（いけない）,でたことがある？（ます（か））,でてきて
止めます,parar,to stop,とめます,とめ,（２）,とめる,とめない,とめて,とめた,とめよう,とめさせます,（FORMA-DIC）させます,とめろ,とめないで,とめれば,とめてもいです（か）,とめないと（いけない）,とめたことがある？（ます（か））,とめてきて
寝ます,dormir,to sleep,ねます,ね,（２）,ねる,ねない,ねて,ねた,ねよう,ねさせます,（FORMA-DIC）させます,ねろ,ねないで,ねれれば,ねてもいです（か）,ねないと（いけない）,ねたことがある？（ます（か））,ねてきて
乗り換えます,trocar de transporte,to transfer (transport),のりかえます,のりかえ,（２）,のりかえる,のりかえない,のりかえて,のりかえた,のりかえよう,のりかえさせます,（FORMA-DIC）させます,のりかえろ,のりかえないで,のりかえれば,のりかえてもいです（か）,のりかえないと（いけない）,のりかえたことがある？（ます（か））,のりかえてきて
始めます,começar,to begin,はじめます,はじめ,（２）,はじめる,はじめない,はじめて,はじめた,はじめよう,はじめさせます,（FORMA-DIC）させます,はじめろ,はじめないで,はじめれば,はじめてもいです（か）,はじめないと（いけない）,はじめたことがある？（ます（か））,はじめてきて
負けます,perder (jogo),to lose (game),まけます,まけ,（２）,まける,まけない,まけて,まけた,まけよう,まけさせます,（FORMA-DIC）させます,まけろ,まけないで,まければ,まけてもいです（か）,まけないと（いけない）,まけたことがある？（ます（か））,まけてきて
見せます,mostrar,to show,みせます,みせ,（２）,みせる,みせない,みせて,みせた,みせよう,みせさせます,（FORMA-DIC）させます,みせろ,みせないで,みせれば,みせてもいです（か）,みせないと（いけない）,みせたことがある？（ます（か））,みせてきて
見ます,ver / assistir,to see / to watch,みます,み,（２）,みる,みない,みて,みた,みよう,みさせます,（FORMA-DIC）させます,みろ,みないで,みれれば,みてもいです（か）,みないと（いけない）,みたことがある？（ます（か））,みてきて
迎えます,receber (alguém),to welcome,むかえます,むかえ,（２）,むかえる,むかえない,むかえて,むかえた,むかえよう,むかえさせます,（FORMA-DIC）させます,むかえろ,むかえないで,むかえれば,むかえてもいです（か）,むかえないと（いけない）,むかえたことがある？（ます（か））,むかえてきて
やめます　「かいしゃを～」,parar (desistir do trabalho),to quit (the company),やめます,やめ,（２）,やめる,やめない,やめて,やめた,やめよう,やめさせます,（FORMA-DIC）させます,やめろ,やめないで,やめれば,やめてもいです（か）,やめないと（いけない）,やめたことがある？（ます（か））,やめてきて
忘れます,esquecer,to forget,わすれます,わすれ,（２）,わすれる,わすれない,わすれて,わすれた,わすれよう,わすれさせます,（FORMA-DIC）させます,わすれろ,わすれないで,われれば,わすれてもいです（か）,わすれないと（いけない）,わすれたことがある？（ます（か））,わすれてきて
案内します,guiar / mostrar,to guide / to show around,あんないします,あんないし,（３）,あんないする,あんないしない,あんないして,あんないした,あんないしよう,あんないさせます,　(FORMA-DIC）させます,あんないしろ,あんないしないで,あんないすれば,あんないしてもいです（か）,あんないしないと（いけない）,あんないしたことがある？（ます（か））,あんないしてきて
運転します,dirigir,to drive,うんてんします,うんてんし,（３）,うんてんする,うんてんしない,うんてんして,うんてんした,うんてんしよう,うんてんさせます,　(FORMA-DIC）させます,うんてんしろ,うんてんしないで,うんてんすれば,うんてんしてもいです（か）,うんてんしないと（いけない）,うんてんしたことがある？（ます（か））,うんてんしてきて
買い物します,fazer compras,to shop,かいものします,かいものし,（３）,かいものする,かいものしない,かいものして,かいものした,かいものしよう,かいものさせます,　(FORMA-DIC）させます,かいものしろ,かいものしないで,かいものすれば,かいものしてもいです（か）,かいものしないと（いけない）,かいものしたことがある？（ます（か））,かいものしてきて
来ます,vir,to come,きます,き,（３）,くる,こない,きて,きた,こよう,こさせます,　(FORMA-DIC）させます,こい,こないで,くれば,きてもいです（か）,こないと（いけない）,きたことがある？（ます（か））,きてきて
結婚します,casar-se,to get married,けっこんします,けっこんし,（３）,けっこんする,けっこんしない,けっこんして,けっこんした,けっこんしよう,けっこんさせます,　(FORMA-DIC）させます,けっこんしろ,けっこんしないで,けっこんすれば,けっこんしてもいです（か）,けっこんしないと（いけない）,けっこんしたことがある？（ます（か））,けっこんしてきて
見学します,visitar (para estudo),to tour (for study),けんがくします,けんがくし,（３）,けんがくする,けんがくしない,けんがくして,けんがくした,けんがくしよう,けんがくさせます,　(FORMA-DIC）させます,けんがくしろ,けんがくしないで,けんがくすれば,けんがくしてもいです（か）,けんがくしないと（いけない）,けんがくしたことがある？（ます（か））,けんがくしてきて
研究します,pesquisar,to research,けんきゅうします,けんきゅうし,（３）,けんきゅうする,けんきゅうしない,けんきゅうして,けんきゅうした,けんきゅうしよう,けんきゅうさせます,　(FORMA-DIC）させます,けんきゅうしろ,けんきゅうしないで,けんきゅうすれば,けんきゅうしてもいです（か）,けんきゅうしないと（いけない）,けんきゅうしたことがある？（ます（か））,けんきゅうしてきて
コピーします,fazer cópia,to copy,コピーします,コピーし,（３）,コピーする,コピーしない,コピーして,コピーした,コピーしよう,コピーさせます,　(FORMA-DIC）させます,コピーしろ,コピーしないで,コピーすれば,コピーしてもいです（か）,コピーしないと（いけない）,コピーしたことがある？（ます（か））,コピーしてきて
散歩します　「こうえんを～」,passear (no parque),to walk (in the park),さんぱします,さんぱし,（３）,さんぱする,さんぱしない,さんぱして,さんぱした,さんぱしよう,さんぱさせます,　(FORMA-DIC）させます,さんぱしろ,さんぱしないで,さんぱすれば,さんぱしてもいです（か）,さんぱしないと（いけない）,さんぱしたことがある？（ます（か））,さんぱしてきて
残業します,fazer hora extra,to work overtime,ざんぎょします,ざんぎょし,（３）,ざんぎょする,ざんぎょしない,ざんぎょして,ざんぎょした,ざんぎょしよう,ざんぎょさせます,　(FORMA-DIC）させます,ざんぎょしろ,ざんぎょしないで,ざんぎょすれば,ざんぎょしてもいです（か）,ざんぎょしないと（いけない）,ざんぎょしたことがある？（ます（か））,ざんぎょしてきて
します,fazer,to do,します,し,（３）,する,しない,して,した,しよう,させます,　(FORMA-DIC）させます,しろ,しないで,すれば,してもいです（か）,しないと（いけない）,したことがある？（ます（か））,してきて
します「ネクタイを～」,usar (gravata),to wear (a tie),します,し,（３）,する,しない,して,した,しよう,させます,　(FORMA-DIC）させます,しろ,しないで,すれば,してもいです（か）,しないと（いけない）,したことがある？（ます（か））,してきて
修理します,consertar,to repair,しゅうりします,しゅうりし,（３）,しゅうりする,しゅうりしない,しゅうりして,しゅうりした,しゅうりしよう,しゅうりさせます,　(FORMA-DIC）させます,しゅうりしろ,しゅうりしないで,しゅうりすれば,しゅうりしてもいです（か）,しゅうりしないと（いけない）,しゅうりしたことがある？（ます（か））,しゅうりしてきて
出張します,viajar a trabalho,to go on a business trip,しゅっちょうします,しゅっちょうし,（３）,しゅっちょうする,しゅっちょうしない,しゅっちょうして,しゅっちょうした,しゅっちょうしよう,しゅっちょうさせます,　(FORMA-DIC）させます,しゅっちょうしろ,しゅっちょうしないで,しゅっちょうすれば,しゅっちょうしてもいです（か）,しゅっちょうしないと（いけない）,しゅっちょうしたことがある？（ます（か））,しゅっちょうしてきて
紹介します,apresentar,to introduce,しょかいします,しょかいし,（３）,しょかいする,しょかいしない,しょかいして,しょかいした,しょかいしよう,しょかいさせます,　(FORMA-DIC）させます,しょかいしろ,しょかいしないで,しょかいすれば,しょかいしてもいです（か）,しょかいしないと（いけない）,しょかいしたことがある？（ます（か））,しょかいしてきて
食事します,fazer refeição,to dine,しょかくじします,しょかくじし,（３）,しょかくじする,しょかくじしない,しょかくじして,しょかくじした,しょかくじしよう,しょかくじさせます,　(FORMA-DIC）させます,しょかくじしろ,しょかくじしないで,しょかくじすれば,しょかくじしてもいです（か）,しょかくじしないと（いけない）,しょかくじしたことがある？（ます（か））,しょかくじしてきて
心配します,preocupar-se,to worry,しんぱいします,しんぱいし,（３）,しんぱいする,しんぱいしない,しんぱいして,しんぱいした,しんぱいしよう,しんぱいさせます,　(FORMA-DIC）させます,しんぱいしろ,しんぱいしないで,しんぱいすれば,しんぱいしてもいです（か）,しんぱいしないと（いけない）,しんぱいしたことがある？（ます（か））,しんぱいしてきて
説明します,explicar,to explain,せつめいします,せつめいし,（３）,せつめいする,せつめいしない,せつめいして,せつめいした,せつめいしよう,せつめいさせます,　(FORMA-DIC）させます,せつめいしろ,せつめいしないで,せつめいすれば,せつめいしてもいです（か）,せつめいしないと（いけない）,せつめいしたことがある？（ます（か））,せつめいしてきて
洗濯します,lavar roupa,to do laundry,せんたくします,せんたくし,（３）,せんたくする,せんたくしない,せんたくして,せんたくした,せんたくしよう,せんたくさせます,　(FORMA-DIC）させます,せんたくしろ,せんたくしないで,せんたくすれば,せんたくしてもいです（か）,せんたくしないと（いけない）,せんたくしたことがある？（ます（か））,せんたくしてきて
掃除します,limpar,to clean,そうじします,そうじし,（３）,そうじする,そうじしない,そうじして,そうじした,そうじしよう,そうじさせます,　(FORMA-DIC）させます,そうじしろ,そうじしないで,そうじすれば,そうじしてもいです（か）,そうじしないと（いけない）,そうじしたことがある？（ます（か））,そうじしてきて
連れて来ます,trazer (alguém),to bring (someone),つれてきます,つれてき,（３）,つれてくる,つれてこない,つれてきて,つれてきた,つれてこよう,つれてこさせます,　(FORMA-DIC）させます,つれてきろ,つれてこないで,つれてくれば,つれてきてもいです（か）,つれてこないと（いけない）,つれてきたことがある？（ます（か））,つれてきてきて
電話します,telefonar,to call,でんわします,でんわし,（３）,でんわする,でんわしない,でんわして,でんわした,でんわしよう,でんわさせます,　(FORMA-DIC）させます,でんわしろ,でんわしないで,でんわすれば,でんわしてもいです（か）,でんわしないと（いけない）,でんわしたことがある？（ます（か））,でんわしてきて
勉強します,estudar,to study,べんきょうします,べんきょうし,（３）,べんきょうする,べんきょうしない,べんきょうして,べんきょうした,べんきょうしよう,べんきょうさせます,　(FORMA-DIC）させます,べんきょうしろ,べんきょうしないで,べんきょうすれば,べんきょうしてもいです（か）,べんきょうしないと（いけない）,べんきょうしたことがある？（ます（か））,べんきょうしてきて
持って来ます,trazer (coisa),to bring (something),もってきます,もってき,（３）,もってくる,もってこない,もってきて,もってきた,もってこよう,もってこさせます,　(FORMA-DIC）させます,もってきい,もってこないで,もってくれば,もってきてもいです（か）,もってこないと（いけない）,もってきたことがある？（ます（か））,もってきてきて
予約します,reservar,to reserve,よやくします,よやくし,（３）,よやくする,よやくしない,よやくして,よやくした,よやくしよう,よやくさせます,　(FORMA-DIC）させます,よやくしろ,よやくしないで,よやくすれば,よやくしてもいです（か）,よやくしないと（いけない）,よやくしたことがある？（ます（か））,よやくしてきて
留学します,estudar no exterior,to study abroad,りゅうがくします,りゅうがくし,（３）,りゅうがくする,りゅうがくしない,りゅうがくして,りゅうがくした,りゅうがくしよう,りゅうがくさせます,　(FORMA-DIC）させます,りゅうがくしろ,りゅうがくしないで,りゅうがくすれば,りゅうがくしてもいです（か）,りゅうがくしないと（いけない）,りゅうがくしたことがある？（ます（か））,りゅうがくしてきて
探します,procurar,to search,さがします,さがし,（３）,さがする,さがしない,さがして,さがした,さがしよう,さがさせます,　(FORMA-DIC）させます,さがしろ,さがしないで,さがすれば,さがしてもいです（か）,さがしないと（いけない）,さがしたことがある？（ます（か））,さがしてきて
